조사일자,농수로ID,수로폭(m),수심(m),높이(m),유속1(m/s),유속2(m/s),유속3(m/s),평균유속(m/s),촬영방위각(°),특이사항,위도,경도,사진링크,장비,rpm1,rpm2,rpm3,n1,n2,n3
2026-06-25 01:28:17,,1.500,0.400,1.200,0.530,0.500,0.490,0.507,280,ㅁ 수초 많음,37.483357,126.880981,https://raw.githubusercontent.com/gawngae/HanGeum_River/main/photos/2026062501281700_.jpg;https://raw.githubusercontent.com/gawngae/HanGeum_River/main/photos/2026062501281701_.jpg,삼안,,,,,,
2026-06-25 01:34:51,K0625-1,1.200,0.500,1.000,0.520,0.540,0.510,0.523,287,정상,37.482846,126.881023,https://raw.githubusercontent.com/gawngae/HanGeum_River/main/photos/2026062501345100_K0625-1.jpg,삼안,,,,,,
